version,language,gaming_frequency,consent_understand,consent_publication,consent,pf1,pf2,pf3,pf4,imi1,imi2,imi3,imi4,imi5,imi6,imi7,bug,bugdesc,imi_enjoyment,play_framing,total_moves,moves_correct_form,grammatical_moves_idealised,proportion_of_valid_data_total_idealised,proportion_of_valid_data_first20_idealised,proportion_of_valid_data_providing_mechanic_actuations_total_idealised,moves_correct_form_last16,grammatical_moves_last16_idealised,proportion_of_valid_data_last16_idealised,proportion_of_valid_data_providing_mechanic_actuations_last16_idealised,time_per_input_from_moveDurations,time_per_input_from_8min
LowFraming,english,about-once-a-week,True,True,True,2,2,5,2,2,2,1,2,2,3,6,nobug,,3.4285714285714284,3.5,27,21,4,0.14814814814814814,0.2,0.19047619047619047,12,2,0.13333333333333333,0.16666666666666666,12.363857142857142,17.77777777777778
LowFraming,english,every-day,True,True,True,5,5,1,1,5,5,5,6,6,6,1,nobug,,3.4285714285714284,4.25,12,11,0,0.0,0.0,0.0,11,0,0.0,0.0,16.74561538461538,40.0
LowFraming,english,every-day,True,True,True,4,4,1,1,5,4,4,4,5,4,3,nobug,,3.5714285714285716,3.75,10,8,1,0.1,0.05,0.125,8,1,0.06666666666666667,0.125,37.45704545454545,48.0
HighFraming,english,several-times-a-week,True,True,True,3,4,2,2,1,3,2,6,6,6,1,nobug,,3.0,3.5,31,27,21,0.6774193548387096,0.75,0.7777777777777778,13,7,0.4666666666666667,0.5384615384615384,10.94620645161598,15.483870967741936
HighFraming,english,several-times-a-week,True,True,True,4,5,1,1,3,4,1,6,5,4,1,nobug,,3.142857142857143,4.0,20,20,8,0.4,0.4,0.4,15,6,0.4,0.4,15.134320000000296,24.0
LowFraming,english,several-times-a-week,True,True,True,4,5,2,1,4,4,3,6,6,6,2,nobug,,3.5714285714285716,4.25,25,23,15,0.6,0.7,0.6521739130434783,13,9,0.6,0.6923076923076923,14.213161538461367,19.2
LowFraming,english,every-day,True,True,True,5,5,1,1,5,5,4,6,5,5,2,nobug,,3.4285714285714284,4.25,15,11,6,0.4,0.3,0.5454545454545454,11,6,0.4,0.5454545454545454,20.20271875,32.0
LowFraming,english,several-times-a-week,True,True,True,5,5,1,1,5,5,3,6,6,6,1,nobug,,3.7142857142857144,4.25,15,14,11,0.7333333333333333,0.55,0.7857142857142857,14,11,0.7333333333333333,0.7857142857142857,17.697956250000747,32.0
LowFraming,english,almost-never,True,True,True,3,3,3,2,3,3,3,5,5,4,2,nobug,,3.0,3.5,21,20,0,0.0,0.0,0.0,15,0,0.0,0.0,15.79352272727408,22.857142857142858
HighFraming,english,every-day,True,True,True,2,2,5,4,2,1,1,6,5,5,2,nobug,,2.857142857142857,3.0,23,22,1,0.043478260869565216,0.0,0.045454545454545456,14,1,0.06666666666666667,0.07142857142857142,11.687913043478254,20.869565217391305
